,timestamp,target
620,2019-09-13,201.0
621,2019-09-14,92.0
622,2019-09-15,39.0
623,2019-09-16,33.0
624,2019-09-17,43.0
625,2019-09-18,46.0
626,2019-09-19,25.0
627,2019-09-20,30.0
628,2019-09-21,9.0
629,2019-09-22,0.0
630,2019-09-23,20.0
631,2019-09-24,32.0
632,2019-09-25,48.0
633,2019-09-26,15.0
634,2019-09-27,10.0
635,2019-09-28,16.0
636,2019-09-29,25.0
637,2019-09-30,24.0
638,2019-10-01,10.0
639,2019-10-02,17.0
640,2019-10-03,15.0
641,2019-10-04,10.0
642,2019-10-05,7.0
643,2019-10-06,3.0
644,2019-10-07,5.0
645,2019-10-08,0.0
646,2019-10-09,8.0
647,2019-10-10,12.0
648,2019-10-11,8.0
649,2019-10-12,23.0
650,2019-10-13,26.0
651,2019-10-14,34.0
652,2019-10-15,46.0
653,2019-10-16,4.0
654,2019-10-17,0.0
655,2019-10-18,0.0
656,2019-10-19,0.0
657,2019-10-20,0.0
658,2019-10-21,1.0
659,2019-10-22,1.0
660,2019-10-23,25.0
661,2019-10-24,31.0
662,2019-10-25,8.0
663,2019-10-26,17.0
664,2019-10-27,0.0
665,2019-10-28,24.0
666,2019-10-29,36.0
667,2019-10-30,13.166666666666666
668,2019-10-31,69.0
669,2019-11-01,48.0
670,2019-11-02,32.0
671,2019-11-03,28.0
672,2019-11-04,4.0
673,2019-11-05,5.0
674,2019-11-06,10.0
675,2019-11-07,7.0
676,2019-11-08,5.0
677,2019-11-09,4.0
678,2019-11-10,27.0
679,2019-11-11,40.0
680,2019-11-12,43.0
681,2019-11-13,41.0
682,2019-11-14,23.0
683,2019-11-15,32.0
684,2019-11-16,31.0
685,2019-11-17,19.0
686,2019-11-18,51.0
687,2019-11-19,24.0
688,2019-11-20,51.0
689,2019-11-21,59.0
690,2019-11-22,73.0
691,2019-11-23,56.0
692,2019-11-24,49.0
693,2019-11-25,62.0
694,2019-11-26,79.0
695,2019-11-27,48.0
696,2019-11-28,50.0
697,2019-11-29,67.0
698,2019-11-30,33.0
699,2019-12-01,92.0
700,2019-12-02,19.0
701,2019-12-03,53.0
702,2019-12-04,100.0
703,2019-12-05,34.0
704,2019-12-06,1.0
705,2019-12-07,1.0
706,2019-12-08,0.0
707,2019-12-09,0.0
708,2019-12-10,0.0
709,2019-12-11,0.0
710,2019-12-12,67.0
711,2019-12-13,49.0
712,2019-12-14,64.0
713,2019-12-15,41.0
714,2019-12-16,53.0
715,2019-12-17,79.0
716,2019-12-18,41.0
717,2019-12-19,49.0
718,2019-12-20,38.0
719,2019-12-21,77.0
720,2019-12-22,70.0
721,2019-12-23,70.0
722,2019-12-24,70.0
723,2019-12-25,76.0
724,2019-12-26,55.0
725,2019-12-27,55.0
726,2019-12-28,87.0
727,2019-12-29,86.0
728,2019-12-30,113.0
729,2019-12-31,107.0
730,2020-01-01,96.0
731,2020-01-02,62.0
732,2020-01-03,31.0
733,2020-01-04,42.0
734,2020-01-05,93.0
735,2020-01-06,68.0
736,2020-01-07,79.0
737,2020-01-08,58.0
738,2020-01-09,90.0
739,2020-01-10,99.0
740,2020-01-11,60.0
741,2020-01-12,25.0
742,2020-01-13,52.0
743,2020-01-14,101.0
744,2020-01-15,100.0
745,2020-01-16,52.0
746,2020-01-17,67.0
747,2020-01-18,114.0
748,2020-01-19,82.0
749,2020-01-20,110.0
750,2020-01-21,121.0
751,2020-01-22,119.0
752,2020-01-23,87.0
753,2020-01-24,83.0
754,2020-01-25,49.0
755,2020-01-26,52.0
756,2020-01-27,71.0
757,2020-01-28,48.0
758,2020-01-29,21.0
759,2020-01-30,32.0
760,2020-01-31,90.0
761,2020-02-01,110.0
762,2020-02-02,100.0
763,2020-02-03,102.0
764,2020-02-04,68.0
765,2020-02-05,52.0
766,2020-02-06,66.0
767,2020-02-07,43.0
768,2020-02-08,61.0
769,2020-02-09,123.0
770,2020-02-10,126.0
771,2020-02-11,134.0
772,2020-02-12,71.0
773,2020-02-13,44.0
774,2020-02-14,13.0
775,2020-02-15,53.0
776,2020-02-16,94.0
777,2020-02-17,64.0
778,2020-02-18,52.0
779,2020-02-19,138.0
780,2020-02-20,139.0
781,2020-02-21,54.0
782,2020-02-22,93.0
783,2020-02-23,71.0
784,2020-02-24,70.0
785,2020-02-25,51.0
786,2020-02-26,68.0
787,2020-02-27,74.0
788,2020-02-28,90.0
789,2020-02-29,66.0
